CNTLNUM,SCHCNTL,currentTeacher,TFSFINWT,F0105,F0108,F0113,F0116,T0293,T0294,T0295,T0296,T0297,T0298,T0299,T0300,T0301,T0303,T0306,T0307,T0308,T0309,T0310,T0311,T0312,T0315,T0320,T0321,T0322,T0324,T0325,T0326,T0327,T0331,T0332,T0335,T0336,T0337,T0338,T0339,T0340,TFNLWGT,LEP_T,MGMNT_T,NEWTCH,PLAN,PUPILS_D,PUPILS_S,SBKGD_T,SDLQ_T,T0051,T0059,T0106,T0120,T0122,T0124,T0125,T0126,T0127,T0147,T0148,T0149,T0150,T0153,T0154,T0155,T0156,T0158,T0208,T0248,T0250,treat,teachImputed,PUPILS
109835,102954,1,6.9074,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,2,2,4,4,3,4,1,3,3,3,1,2,2,2,1,1,2,1,2,3,3,3,3,3,2,4,1,2,3,1,3,3,5,5.6006,0,17,Teacher has taught 3 years or less,11.04,131,0,9,13,1,0,1,3,5,1,1,1,1,1,1,3,1,2,1,1,2,2,0,1,-8,0,0,131
109849,102201,0,21.8759,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,5,5,5,5,5,5,1,1,3,3,1,2,1,1,2,2,2,3,2,3,3,3,3,3,2,2,1,3,3,3,3,3,3,16.1522,0,18,Teacher has taught 3 years or less,9.38,102,0,12,11,1,0,0,1,5,1,1,1,1,2,-8,0,1,2,2,2,1,2,0,2,-8,1,0,102
109881,110969,0,37.7298,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,1,3,5,4,3,5,3,2,4,3,2,4,3,3,3,4,3,1,3,3,4,4,3,4,4,4,2,3,3,2,3,1,2,35.8422,0,12,Teacher has taught 3 years or less,7.98,99,0,11,17,1,0,0,2,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,0,2,-8,0,0,99
110221,108853,1,563.3294,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,5,5,5,5,5,5,2,1,2,1,2,2,1,1,2,2,2,1,1,3,3,3,3,3,4,4,3,2,2,2,4,1,1,340.6715,0,16,Teacher has taught 3 years or less,2.5,0,16,10,17,1,0,1,3,5,1,1,1,1,1,2,5,2,2,1,1,1,2,16,2,-8,1,1,16
110273,111695,1,54.6891,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,3,3,4,4,4,3,1,1,3,3,1,2,2,2,1,2,1,1,1,2,2,4,4,4,4,4,4,2,3,3,4,2,5,48.5048,4.76,20,Teacher has taught 3 years or less,5.71,0,21,12,20,1,1,1,3,5,1,1,1,1,1,1,3,1,2,1,2,2,2,21,1,2,0,0,21
110298,104119,1,34.3003,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,3,4,5,5,4,4,1,1,3,3,2,2,4,2,1,1,1,2,1,2,2,3,3,3,3,3,2,3,3,2,4,2,2,32.0057,0.64,19,Teacher has taught 3 years or less,9.38,157,0,12,14,1,0,1,1,5,1,1,1,1,1,1,5,2,1,1,1,2,2,0,-8,2,0,0,157
110330,102784,1,187.8732,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,3,4,4,4,4,4,1,2,2,4,1,2,2,1,1,2,3,3,2,2,2,3,2,2,3,3,1,2,2,1,2,2,1,166.6283,0,17,Teacher has taught 3 years or less,8.33,0,29,7,11,1,0,0,1,5,1,1,1,1,2,-8,0,2,2,1,1,2,2,29,1,-8,0,0,29
110479,105583,1,285.7404,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,5,5,5,5,4,5,2,1,3,3,2,4,2,1,2,3,3,1,1,4,3,4,4,4,4,4,3,1,2,2,4,3,3,54.1491,0,15,Teacher has taught 3 years or less,12.5,0,0,9,19,1,0,7,1,4,-8,-8,-8,-8,-8,-8,0,2,1,2,2,2,2,4,2,1,0,0,0
110480,112165,1,536.1183,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4,4,4,4,4,4,2,2,3,2,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,3,4,1,1,12.082,0,15,Teacher has taught 3 years or less,1.88,0,0,13,20,1,0,3,1,5,1,1,1,1,2,-8,0,2,2,2,1,2,2,7,1,2,0,1,0
110578,100615,0,498.5876,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4,4,5,5,5,5,1,1,4,3,1,2,2,2,1,2,2,4,1,2,2,2,2,3,3,4,2,1,1,1,1,1,1,70.4869,5,19,Teacher has taught 3 years or less,8.75,0,20,4,14,1,0,0,2,5,1,1,1,1,1,1,5,2,1,1,1,2,1,20,-8,2,0,0,20
110590,110735,1,492.8917,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,4,4,5,5,4,5,1,1,2,2,1,1,1,1,1,2,1,2,1,3,3,4,4,3,4,4,3,3,4,3,4,5,3,156.3676,0,20,Teacher has taught 3 years or less,1.88,86,0,14,18,1,0,0,2,5,2,1,1,1,1,2,5,1,2,1,1,2,2,0,-8,-8,0,0,86
110644,105902,1,41.1523,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,3,4,4,4,4,4,3,4,2,3,4,2,2,4,4,4,1,2,4,4,4,2,4,3,4,3,3,3,3,3,2,2,33.3668,0,7,Teacher has taught 3 years or less,18.13,0,13,12,16,1,0,1,1,5,1,1,1,1,2,-8,0,1,1,2,2,2,2,13,2,-8,0,0,13
110752,101020,1,246.7594,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,3,4,4,4,4,4,1,1,4,3,1,2,1,1,1,1,1,2,3,1,1,2,1,2,2,3,1,1,1,1,1,3,3,218.856,4.17,20,Teacher has taught 3 years or less,6.06,0,24,4,9,1,1,1,3,5,1,1,1,1,1,1,4,1,1,1,2,2,2,24,1,2,0,0,24
110768,106422,1,1175.0338,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,3,2,5,5,5,5,3,4,2,3,3,4,4,2,3,3,3,2,2,2,2,3,2,3,3,4,1,1,2,1,2,2,1,240.9534,0,9,Teacher has taught 3 years or less,15.63,358,0,6,13,1,0,1,1,5,1,1,1,1,2,-8,0,1,1,2,2,2,1,0,1,-8,0,0,358
110790,101421,1,32.3059,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,5,5,5,5,3,5,1,2,2,4,1,3,3,2,1,2,3,4,3,3,3,3,3,3,3,2,1,1,3,1,3,3,3,30.1446,0,17,Teacher has taught 3 years or less,1.88,0,8,8,12,1,0,1,2,5,1,1,1,1,2,-8,0,2,2,1,1,2,2,8,1,-8,0,0,8
110795,101801,1,81.8526,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,3,3,4,4,4,1,3,4,2,3,3,4,2,3,1,2,2,2,1,4,4,4,3,3,4,4,4,2,2,2,4,1,1,81.8529,0,12,Teacher has taught 3 years or less,7.5,0,0,10,18,1,0,0,1,5,1,1,1,1,2,-8,0,1,1,1,1,1,1,22,1,1,1,1,0
110850,104259,1,2263.3507,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,3,4,4,4,5,5,1,2,2,2,1,2,2,2,1,1,2,2,1,3,2,3,3,3,3,3,2,2,3,2,3,1,2,69.2506,0,18,Teacher has taught 3 years or less,11.11,137,0,10,14,1,1,1,1,5,1,1,1,1,1,1,4,2,2,1,1,2,2,0,2,-8,0,0,137
110865,110141,1,11.5312,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,3,4,5,4,4,2,3,2,3,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,2,1,1,1,1,3,2,1,10.7597,0,13,Teacher has taught 3 years or less,2.14,56,0,6,12,1,0,0,3,5,2,2,2,2,2,-8,0,2,2,2,1,2,2,0,2,-8,0,0,56
111006,110798,1,26.8934,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,3,4,4,5,4,4,2,2,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,2,4,1,1,19.1637,0.66,18,Teacher has taught 3 years or less,2.14,152,0,14,20,1,1,1,3,5,1,1,1,1,1,1,3,2,1,2,1,2,2,0,-8,2,0,1,152
111085,108118,1,4274.1865,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,4,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,4,4,4,3,4,1,1,1,1,3,1,1,541.3084,3.97,20,Teacher has taught 3 years or less,12.5,126,0,6,16,1,0,1,1,3,-8,-8,-8,-8,-8,-8,0,1,1,1,2,2,2,0,2,2,0,1,126
111112,101022,1,123.1171,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,4,5,5,5,4,5,2,3,3,3,3,4,4,2,4,3,3,1,2,2,2,2,3,4,3,3,2,2,2,3,3,1,1,92.1797,15.38,10,Teacher has taught 3 years or less,5.71,0,13,10,15,1,0,4,1,5,1,1,1,1,1,1,4,2,2,2,2,2,2,13,1,1,0,0,13
111144,100925,1,811.4517,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,2,3,4,5,5,4,1,3,3,2,2,2,2,2,2,1,2,3,2,3,3,4,4,3,3,4,3,2,3,2,2,2,5,103.4768,0,15,Teacher has taught 3 years or less,2.86,0,0,9,17,1,1,2,3,5,1,1,1,1,1,2,2,2,2,2,1,2,2,30,1,1,0,0,0
111148,108710,1,81.5886,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,4,4,5,5,5,2,2,2,3,1,1,2,1,1,2,2,4,1,4,3,4,4,4,4,4,4,2,4,2,2,1,2,66.1531,0,17,Teacher has taught 3 years or less,10.42,0,0,10,20,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,27,-8,1,0,0,0
111166,109172,1,52.6095,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,3,3,5,5,4,5,2,2,2,4,2,3,3,3,3,2,3,3,2,2,1,3,4,4,4,3,3,1,3,1,3,1,1,50.8975,0,13,Teacher has taught 3 years or less,11.25,138,0,8,18,1,0,1,1,5,1,1,1,1,2,-8,0,2,1,2,2,2,2,0,1,-8,0,0,138
111203,105621,1,988.4715,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,1,3,2,3,2,4,2,3,4,3,2,2,1,1,2,1,2,4,3,2,2,3,2,3,2,3,1,2,2,1,3,4,4,472.2649,0,14,Teacher has taught 3 years or less,10.71,0,30,8,11,1,0,1,1,5,1,1,1,1,1,1,3,2,1,2,2,2,2,30,2,-8,0,0,30
111230,109958,1,133.9504,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,2,2,2,3,2,3,2,3,3,3,3,3,2,3,2,1,114.1557,0,13,Teacher has taught 3 years or less,12.5,100,0,11,14,1,0,2,3,5,1,1,1,1,1,1,3,2,2,2,1,1,2,0,2,-8,1,0,100
111331,110144,1,415.164,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,1,2,5,5,3,4,2,2,2,3,2,4,3,2,3,2,1,3,2,4,3,4,4,4,2,4,3,2,4,2,4,2,5,435.0293,8.77,15,Teacher has taught 3 years or less,14.68,228,0,12,17,1,0,6,2,5,1,2,1,1,1,1,5,2,2,1,1,2,2,0,1,1,0,0,228
111339,103709,0,776.9557,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,4,4,4,5,5,5,1,2,2,3,1,3,1,2,2,2,1,3,2,2,2,3,3,4,3,4,3,2,3,2,3,4,3,79.3249,28.17,18,Teacher has taught 3 years or less,15,142,0,10,17,1,0,0,1,5,1,1,1,1,1,1,5,2,1,1,1,2,2,0,-8,1,0,0,142
111341,103378,1,186.6959,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,4,4,4,4,4,4,4,2,2,164.9048,0,15,Teacher has taught 3 years or less,7.14,0,24,16,19,1,0,0,1,4,1,1,1,1,1,1,4,2,1,1,2,2,2,24,2,-8,0,0,24
111352,104387,1,30.3253,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,1,3,4,5,3,4,3,2,4,3,2,2,4,2,3,2,2,4,1,1,1,3,2,2,1,3,1,2,2,1,2,1,1,28.808,0,13,Teacher has taught 3 years or less,9.38,0,0,7,9,1,0,1,3,5,1,1,1,1,1,1,5,2,2,2,1,2,2,31,2,2,0,0,0
111404,101571,1,654.2899,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4,5,4,5,5,5,1,1,4,4,3,2,2,1,1,1,2,4,2,4,2,4,4,4,2,4,2,1,1,1,2,2,5,52.078,33.33,17,Teacher has taught 3 years or less,12.5,0,24,5,16,1,0,1,3,5,1,1,1,1,2,-8,0,2,2,1,2,2,1,24,2,1,0,0,24
111408,100478,1,544.3224,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,3,3,4,4,4,3,3,3,3,2,3,2,2,2,3,2,3,2,1,4,3,4,4,4,3,4,3,3,3,3,4,1,1,169.8383,0,10,Teacher has taught 3 years or less,11.25,0,0,13,18,1,0,2,1,5,1,1,1,1,1,2,5,2,1,1,2,2,2,22,1,-8,0,1,0
111455,107033,1,464.6801,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,3,3,4,4,4,5,2,2,3,2,1,3,1,1,1,2,2,3,1,2,3,3,4,4,4,4,3,3,2,3,4,1,1,92.0195,6.1,17,Teacher has taught 3 years or less,7.89,164,0,12,19,1,1,0,3,5,1,1,1,2,2,-8,0,2,2,2,1,2,2,0,2,2,0,0,164
111470,106160,0,8.2936,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,1,4,4,3,5,2,1,4,2,3,2,4,2,2,2,2,1,3,3,1,3,4,4,3,4,1,1,1,1,4,4,5,6.2095,0,15,Teacher has taught 3 years or less,17.5,68,0,7,16,1,0,1,3,5,1,1,1,1,2,-8,0,1,2,2,2,2,2,0,2,-8,0,1,68
111550,104163,1,772.3757,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,3,3,5,5,5,5,1,1,1,2,1,1,1,2,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,360.2248,3.85,19,Teacher has taught 3 years or less,8.33,0,26,16,20,1,0,0,1,5,1,1,1,1,1,1,5,1,2,2,1,2,1,26,-8,2,0,0,26
111551,101434,0,47.3972,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,3,4,4,4,4,4,1,1,2,3,2,4,2,1,3,2,2,1,1,3,3,3,3,3,3,3,2,2,3,3,3,4,2,37.6337,2.27,16,Teacher has taught 3 years or less,2.98,88,0,11,14,1,0,1,3,4,1,1,1,1,2,-8,0,2,2,2,2,1,2,0,2,2,1,0,88
111584,108289,1,21.0368,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4,4,4,4,5,5,2,1,3,4,1,3,1,1,3,1,1,1,1,4,1,4,1,4,4,4,2,1,1,1,1,1,1,19.6294,0,17,Teacher has taught 3 years or less,0.83,40,0,4,15,1,0,0,3,5,1,1,1,1,1,2,5,2,2,2,2,2,2,0,2,-8,0,0,40
111593,102545,1,667.4351,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,2,4,5,5,5,5,1,1,2,1,1,2,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,3,4,1,1,265.4413,5.88,20,Teacher has taught 3 years or less,7.62,0,17,15,20,1,0,1,1,5,1,1,1,1,1,1,5,1,2,2,2,2,2,17,-8,2,0,0,17
111805,101336,1,2386.6839,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,1,1,5,5,5,5,3,4,2,2,4,4,2,2,4,3,4,1,4,3,3,4,3,2,2,3,2,2,1,2,2,1,2,52.5201,62.5,6,Teacher has taught 3 years or less,3.33,0,16,7,12,1,0,4,1,5,1,1,1,1,2,-8,0,2,2,1,2,2,1,16,-8,2,0,0,16
111909,112219,1,42.1275,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,3,3,5,4,5,4,1,1,3,4,1,2,2,2,1,1,2,3,1,3,2,4,3,4,4,4,2,2,2,2,2,1,2,37.3639,35,19,Teacher has taught 3 years or less,9.87,0,20,8,17,1,0,0,1,5,1,1,1,1,1,1,4,2,2,1,1,2,2,20,-8,2,0,0,20
111941,111637,1,1961.0915,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,5,5,5,5,5,4,1,2,4,2,1,3,2,2,2,1,1,2,1,3,3,4,4,4,4,4,4,3,4,3,4,1,1,32.0692,0,18,Teacher has taught 3 years or less,27.78,67,0,14,20,1,0,1,1,4,-8,-8,-8,-8,-8,-8,0,2,1,1,2,2,1,0,2,-8,0,0,67
111973,103733,0,82.511,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,4,3,5,3,3,4,2,2,3,3,2,3,2,1,2,1,2,2,2,3,3,3,3,3,3,3,2,2,3,2,3,1,3,61.7776,1.89,15,Teacher has taught 3 years or less,12.5,53,0,10,14,1,1,0,3,5,1,1,1,1,1,1,4,2,2,1,1,1,2,0,-8,2,1,0,53
111980,110504,1,380.5437,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,3,3,3,4,4,5,4,2,4,3,1,1,1,2,2,3,4,2,3,2,2,4,4,4,3,4,1,1,1,1,3,2,1,296.1328,0,12,Teacher has taught 3 years or less,3.33,0,22,6,16,1,0,3,1,4,-8,-8,-8,-8,-8,-8,0,2,2,2,1,1,2,22,2,-8,1,0,22
112063,100786,1,1178.3277,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,1,3,5,5,4,4,3,3,2,4,2,4,4,3,1,3,3,4,3,1,3,1,3,4,4,4,1,1,3,1,4,4,5,124.7368,0,13,Teacher has taught 3 years or less,14.29,187,0,9,16,1,0,2,1,5,1,1,1,1,2,-8,0,1,2,1,2,2,2,0,1,-8,0,0,187
112170,101827,0,648.3825,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,4,5,5,5,4,5,1,1,4,2,1,2,2,2,2,2,2,1,2,4,4,4,4,4,4,4,3,3,2,3,3,3,5,96.9497,6.25,18,Teacher has taught 3 years or less,11.25,0,16,11,19,1,1,1,3,5,1,1,1,1,1,1,5,2,2,2,2,2,2,16,-8,2,0,0,16
112171,108093,1,18.025,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,4,4,4,4,5,5,1,1,4,3,1,2,2,2,1,1,1,1,2,4,2,4,4,2,4,4,3,1,3,3,4,4,5,12.731,0,20,Teacher has taught 3 years or less,3.95,75,0,11,17,1,0,0,1,5,1,1,1,1,1,2,4,2,2,2,2,2,2,0,1,-8,0,0,75
112242,110970,0,162.7054,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,4,4,5,5,5,5,1,2,2,2,1,3,2,2,1,2,3,1,1,4,3,4,3,3,3,4,2,2,2,2,3,2,5,108.9617,100,17,Teacher has taught 3 years or less,1.56,0,20,9,15,1,0,0,1,5,1,1,1,2,2,-8,0,2,2,2,2,1,2,20,-8,1,1,0,20
112292,107801,1,591.7095,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,3,4,4,4,4,5,2,2,3,3,2,4,2,1,1,2,3,1,1,4,3,4,4,4,4,4,3,3,3,3,4,3,1,208.3845,16.67,15,Teacher has taught 3 years or less,8.75,0,18,13,19,1,0,0,1,5,1,1,1,1,1,2,5,2,1,2,2,2,2,18,2,2,0,0,18
112335,111470,1,567.0395,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,1,2,3,4,5,5,1,1,2,2,2,4,3,2,2,3,2,1,2,2,2,4,4,4,4,4,3,3,1,1,1,1,1,254.1992,0,17,Teacher has taught 3 years or less,14.29,0,23,6,19,1,0,0,3,5,1,1,1,1,1,1,2,2,2,2,1,2,2,23,-8,-8,0,0,23
112365,110025,1,30.4575,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,5,5,5,5,5,5,2,1,3,3,2,2,3,2,2,3,2,1,2,2,2,3,4,3,4,3,2,2,2,1,4,2,3,28.4198,5.56,16,Teacher has taught 3 years or less,18.75,108,0,9,16,1,0,0,3,5,2,1,1,1,1,2,3,2,1,1,2,2,2,0,1,2,0,0,108
112409,107525,1,655.0558,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,5,3,5,5,4,5,2,2,3,1,3,3,4,3,2,3,3,1,1,2,2,3,2,3,1,4,1,2,1,1,2,1,1,98.397,2.61,13,Teacher has taught 3 years or less,1.88,115,0,6,11,1,0,0,1,5,2,1,2,2,1,2,4,2,2,2,1,2,2,0,1,2,0,0,115
112411,100167,0,34.5815,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,3,3,5,5,5,5,1,1,3,3,2,3,3,4,2,4,1,1,2,2,1,3,3,3,3,3,3,2,2,1,3,1,1,27.9346,0,18,Teacher has taught 3 years or less,9.38,0,0,8,15,1,0,1,2,5,1,1,1,1,2,-8,0,2,1,1,2,2,2,23,2,-8,0,0,0
112463,101698,1,97.7954,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,1,1,4,4,2,4,1,1,4,4,2,3,4,3,1,2,2,4,1,1,1,2,1,2,2,3,2,1,2,2,2,1,1,91.2527,5.59,18,Teacher has taught 3 years or less,2.78,143,0,7,10,1,1,0,3,5,2,2,2,2,1,2,3,1,2,2,1,2,2,0,2,2,0,0,143
112480,104961,1,577.8053,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,1,5,5,5,4,5,1,2,4,4,1,2,3,3,1,3,2,3,2,2,1,2,4,1,2,4,1,1,4,1,4,1,1,58.7471,2.86,18,Teacher has taught 3 years or less,15,70,0,10,12,1,0,5,1,5,1,1,1,1,1,2,3,2,1,1,1,2,2,0,2,2,0,0,70
112491,105450,1,796.2454,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,4,4,4,4,4,4,2,2,4,2,1,2,3,2,1,2,2,2,1,3,3,3,3,3,3,4,3,2,3,1,3,5,5,48.1033,0,17,Teacher has taught 3 years or less,11.46,74,0,9,16,1,0,0,1,5,1,1,1,1,1,1,4,2,1,1,1,2,2,0,2,-8,0,0,74
112493,102146,1,25.1015,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,3,2,5,5,5,5,2,1,2,2,1,1,2,2,2,2,3,1,1,3,3,4,4,4,3,4,3,2,2,3,3,1,1,20.3525,0,16,Teacher has taught 3 years or less,8.57,0,0,10,18,1,0,1,3,5,1,1,1,1,2,-8,0,2,1,1,2,1,2,22,-8,-8,1,0,0
112542,106045,1,20.4621,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3,4,4,4,3,5,2,1,4,2,2,2,1,2,2,2,2,1,1,3,3,4,3,4,4,4,3,2,2,2,3,3,5,18.1482,0,16,Teacher has taught 3 years or less,14.29,0,0,9,18,1,0,1,1,5,1,1,1,1,2,-8,0,1,1,1,1,2,2,15,-8,-8,0,0,0
112604,105770,1,278.3346,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,4,5,5,4,4,3,1,1,4,2,1,3,1,2,1,1,1,2,1,3,3,4,3,3,3,3,3,3,3,3,3,2,2,124.9807,0,20,Teacher has taught 3 years or less,14.29,0,0,12,15,1,0,3,1,5,1,1,1,1,1,1,4,2,1,1,1,1,2,13,1,-8,1,0,0
112653,100090,1,534.8768,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4,4,5,5,5,4,2,1,3,2,2,2,3,2,1,2,1,4,2,2,2,4,4,4,4,3,2,2,1,1,3,1,1,472.8899,11.54,18,Teacher has taught 3 years or less,9.72,0,26,7,17,1,0,1,1,4,-8,-8,-8,-8,-8,-8,0,2,1,1,1,1,1,26,1,2,1,0,26
112691,103294,0,513.9363,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,4,5,5,5,5,5,1,2,4,2,1,3,2,3,2,2,1,3,3,3,3,3,3,3,3,4,2,3,3,2,3,4,3,379.4701,0,18,Teacher has taught 3 years or less,18.57,0,0,11,15,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,1,1,1,1,0,2,1,1,0,0
112767,102425,1,49.1028,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,5,5,5,5,5,5,2,1,2,1,1,2,2,2,2,1,1,1,1,4,4,4,3,4,4,4,3,3,4,4,4,2,2,42.7272,0,18,Teacher has taught 3 years or less,10,0,8,15,18,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,8,-8,-8,0,0,8
112780,106601,1,681.2225,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,4,3,5,5,4,5,2,2,2,4,2,4,2,3,3,4,4,1,3,4,4,4,3,4,4,4,2,1,2,2,3,1,1,396.31,0,12,Teacher has taught 3 years or less,13.33,0,23,8,17,1,0,1,1,5,1,1,1,1,1,1,1,2,2,1,1,2,2,23,1,-8,0,0,23
112817,104767,0,31.8887,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,4,5,5,5,5,5,1,2,4,4,2,4,1,4,1,1,1,1,1,2,2,3,3,3,3,3,3,1,1,1,2,3,4,23.5453,0,18,Teacher has taught 3 years or less,12.5,75,0,5,15,1,0,1,1,5,1,1,1,1,1,1,5,2,2,1,2,2,2,0,-8,-8,0,1,75
112871,103880,0,35.2136,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,3,3,4,4,3,4,1,2,4,2,2,2,3,2,2,2,3,2,3,2,2,2,3,3,3,3,2,2,2,2,3,4,4,27.1444,0,15,Teacher has taught 3 years or less,25,73,0,9,14,1,0,1,1,5,1,1,1,1,2,-8,0,2,1,1,2,2,1,0,1,-8,0,0,73
112915,111515,0,49.2374,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,1,2,3,5,2,3,3,4,4,2,1,4,3,2,3,3,3,3,3,3,2,2,3,2,4,4,2,2,1,1,2,4,4,37.9547,0,11,Teacher has taught 3 years or less,18.75,71,0,6,15,1,0,1,1,5,2,1,1,1,1,1,4,2,2,1,2,2,2,0,-8,-8,0,0,71
112925,104340,1,52.758,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,4,2,4,3,3,4,1,2,4,3,2,3,2,2,1,3,2,2,2,2,2,3,3,2,2,3,1,1,3,1,3,3,3,44.9817,0.81,17,Teacher has taught 3 years or less,12.06,123,0,8,11,1,1,1,2,5,1,1,1,1,1,1,3,2,2,2,1,2,2,0,2,2,0,0,123
112927,106856,1,707.1567,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,4,3,5,5,4,5,2,2,3,2,3,4,3,3,3,3,2,2,1,3,2,3,3,3,4,3,2,3,3,2,4,1,2,43.8081,0,13,Teacher has taught 3 years or less,21.43,75,0,12,15,1,0,1,1,5,1,1,1,1,1,1,2,2,2,1,2,2,2,0,2,-8,0,0,75
113043,106892,1,366.4864,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,2,5,5,4,4,5,2,1,4,3,2,2,2,1,2,2,2,4,1,3,1,4,3,4,3,4,2,2,1,2,3,2,5,112.2309,14.81,16,Teacher has taught 3 years or less,8.13,0,27,8,16,1,0,0,1,5,1,1,1,1,1,1,5,1,1,1,1,1,2,27,2,2,1,0,27
113059,100377,1,65.4234,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,5,5,5,5,5,5,1,1,1,2,1,2,2,1,2,2,2,1,1,3,3,3,2,4,4,4,2,2,3,2,3,1,1,61.0466,1.29,18,Teacher has taught 3 years or less,3.75,155,0,10,16,1,0,0,1,5,1,1,1,1,1,2,5,2,2,1,2,2,2,0,2,2,0,0,155
